car_id,documentsCheck,bodyFrame,mechanical,fluidsFilters,exhaust,engine,brakes,suspension,steeringControls,mirrors,seats,power,dashboardRoof,poshish,equipment,acHeater,electrical,carFrame,exteriorLights
ee239aba-f366-431c-8d61-609e7650bdb3,0.88,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.88,1.0,0.83,1.0,1.0,1.0,1.0
76e09c64-1dd4-4f5e-8a0a-460d39f3e8db,0.63,1.0,0.7,0.67,0.67,1.0,1.0,0.5,1.0,0.0,0.88,1.0,0.88,1.0,0.83,1.0,1.0,0.97,0.83
0c78224f-76bc-484a-adbb-c41141d0ab53,0.38,0.88,0.0,0.0,0.0,0.25,0.25,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.6
dace6181-fa40-4132-ba67-4db98c6b79cb,0.5,1.0,0.7,0.33,0.33,0.75,0.75,0.0,0.8,1.0,0.88,0.83,0.67,0.75,0.5,0.6,1.0,0.84,0.5
9e450b55-8b36-49ac-b93c-7f227d10b542,0.25,0.63,0.0,0.17,1.0,0.25,1.0,0.0,0.8,0.5,0.25,0.67,0.63,0.13,0.33,0.0,0.4,0.39,0.6
157acc9b-4e05-4ffe-9db5-08c13ef8a954,0.38,0.63,0.1,0.5,0.33,0.5,0.5,0.0,0.8,1.0,1.0,1.0,0.78,0.13,0.67,0.8,0.6,0.58,0.67
7ba48592-ac89-4583-a568-8493e85cc1df,0.63,1.0,0.9,0.83,1.0,1.0,0.5,0.75,1.0,1.0,1.0,1.0,0.88,1.0,1.0,1.0,1.0,1.0,1.0
ebe6b695-1c33-49cb-965f-1c5de134f4b1,0.38,0.63,0.1,0.0,0.0,0.75,0.25,0.0,0.6,0.0,1.0,1.0,0.5,0.88,0.5,0.25,0.2,0.87,0.8
7f273362-415e-4584-b125-45f1f065ecf1,0.38,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,0.5,0.75,1.0,0.97,0.7
b5fbd336-7e26-4ba5-b497-5af5a9aa4725,0.38,0.94,0.4,0.0,1.0,0.75,1.0,0.0,1.0,1.0,1.0,1.0,0.63,0.63,0.67,1.0,1.0,0.61,0.6
c6b8f435-70d4-43ea-a4ac-daba9f158eeb,0.38,0.81,0.1,0.17,0.67,0.5,1.0,0.0,0.8,1.0,0.88,0.83,0.8,0.75,0.67,0.83,1.0,0.71,0.92
3056e494-30dc-4715-9b29-aa02e7b20f6c,0.5,0.63,0.2,0.0,1.0,0.75,0.5,0.0,0.8,0.5,1.0,1.0,0.67,0.75,0.17,1.0,1.0,0.77,0.83
619bcf99-4fff-4e2d-844d-84b36810ee4d,0.38,0.88,0.1,0.0,1.0,0.75,1.0,0.0,1.0,1.0,0.89,0.67,0.75,0.63,0.5,1.0,1.0,0.9,1.0
5ffe2c42-d62b-471e-bfd9-01f1efcaf9fc,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59768aba-013a-4f82-b77d-82fd91fa6207,0.25,0.88,0.2,0.0,0.0,0.5,1.0,0.0,1.0,1.0,1.0,0.83,0.75,1.0,0.5,0.0,0.0,0.77,0.6
5e3ccde2-3580-43d4-b21a-ba9b04fe41fb,0.38,1.0,0.5,0.83,1.0,0.5,1.0,0.0,0.8,0.5,1.0,1.0,0.9,0.5,0.17,0.8,0.8,0.9,1.0
7a49acb6-365d-4fa9-830f-ab2a16d72f71,0.3,0.94,0.5,0.5,0.0,0.75,1.0,0.38,0.8,1.0,1.0,1.0,0.88,0.63,0.67,0.25,0.0,0.9,0.92
af9fd033-d80a-4441-ab7d-e34629ee35f9,0.25,0.0,0.1,0.17,0.0,0.25,0.25,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.33,0.0,0.8,0.16,0.0
0ee97315-3d1e-445e-a3f0-9eacc77c922e,0.38,1.0,0.5,0.5,1.0,1.0,1.0,0.38,1.0,1.0,1.0,1.0,0.88,0.88,0.5,0.8,1.0,0.9,1.0
f4333b14-536c-4fe9-af91-dd8af23b5b9f,0.63,1.0,0.4,0.5,1.0,0.75,1.0,0.38,1.0,1.0,1.0,1.0,0.78,1.0,0.5,0.8,1.0,0.94,1.0
d8a9d2e5-63e2-41eb-a8ca-466d02c21df6,0.5,0.88,0.3,0.33,0.33,1.0,0.5,0.0,1.0,1.0,0.67,0.83,0.56,0.38,0.33,0.4,0.6,0.9,0.67
75bcb65c-a6c4-4cb1-a70e-464ed7b11865,0.3,0.94,0.3,0.17,1.0,0.5,1.0,0.0,0.8,0.75,1.0,0.83,0.8,0.88,0.67,0.4,1.0,0.81,1.0
c84941c5-d5b9-41d0-83bb-c8086847a8fb,0.63,0.94,0.1,0.33,1.0,0.25,1.0,0.13,1.0,1.0,1.0,0.83,0.8,1.0,0.67,0.6,1.0,0.84,1.0
fa551312-b539-4028-9a98-1f9ca849c911,0.25,0.38,0.0,0.0,0.0,0.5,0.25,0.0,0.6,0.0,0.0,0.0,0.33,0.0,0.17,0.4,0.4,0.1,0.5
aa701b6d-630e-4067-ad5b-4020a354c35f,0.38,0.94,0.3,0.0,1.0,0.75,1.0,0.25,1.0,1.0,1.0,0.67,1.0,0.0,0.33,1.0,1.0,0.97,1.0
ce29e593-3434-4cd8-9872-fed41a3c1c72,0.38,0.75,0.0,0.33,0.33,0.25,0.5,0.25,0.8,1.0,1.0,1.0,0.78,0.88,0.33,0.75,1.0,0.87,0.83
09d1bc32-ed74-42ca-9d21-336e080f8ce9,0.38,0.88,0.2,0.17,0.0,0.5,1.0,0.0,0.8,1.0,1.0,0.83,0.75,1.0,0.33,0.2,0.0,0.9,0.5
bf3ed55e-164f-4ec7-8860-e6c9d0d2bea3,0.25,0.0,0.1,0.17,0.0,0.5,0.5,0.0,0.8,0.0,0.13,0.67,0.5,0.0,0.33,0.5,0.8,0.29,0.33
fc622b73-5a1a-4179-a89d-3af939b63063,0.38,0.63,0.2,0.0,1.0,0.75,0.25,0.0,0.6,1.0,0.63,1.0,0.67,0.0,0.33,1.0,0.8,0.67,0.58
20fcbed9-2dce-4424-9677-b0b85a373707,0.38,0.88,0.2,0.5,1.0,0.75,0.25,0.0,0.6,1.0,1.0,0.17,0.75,0.25,0.33,1.0,1.0,0.65,0.92
97ade755-2e2a-4a7a-a41e-7086977b41a3,0.25,0.75,0.3,0.33,0.33,0.5,0.25,0.0,1.0,1.0,0.88,1.0,0.63,0.38,0.5,0.5,0.8,0.77,0.8
8b81d128-43e8-4308-80b0-3b1b8c2015f3,0.38,0.94,0.2,0.17,0.33,0.5,0.25,0.0,0.8,1.0,1.0,1.0,0.78,0.75,0.67,0.2,1.0,0.81,0.83
91376ba9-7919-4999-98b9-e57f50cb671e,0.5,0.94,0.3,0.17,0.0,1.0,1.0,0.5,0.8,0.0,1.0,0.83,0.88,0.88,0.67,1.0,0.8,0.87,0.92
43f1a18c-5ed5-449a-b3e0-3e3fb278761b,0.6,0.81,0.0,0.17,0.67,0.5,1.0,0.0,0.8,1.0,0.56,0.67,0.9,0.5,0.67,0.0,0.4,0.68,0.5
f5ec951e-20e2-40e9-91a3-e11a00a3f927,0.38,0.94,0.2,0.0,0.33,1.0,0.25,0.0,0.8,1.0,0.75,0.5,0.88,0.75,0.33,1.0,0.6,0.68,0.8
d8ca034e-7c1c-4bfe-9e57-341a47a1d111,0.25,0.69,0.2,0.33,0.67,0.25,0.5,0.0,0.6,1.0,1.0,1.0,0.63,0.0,0.5,0.5,0.8,0.81,1.0
f2e972a7-2b21-450a-80ab-ec822bfe284e,0.75,0.94,0.5,0.67,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.67,0.75,0.88,0.5,1.0,1.0,0.87,1.0
e51b6aa1-f33a-4b8e-b52e-c61d134caa22,0.38,1.0,0.8,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.88,1.0,0.83,1.0,1.0,0.97,1.0
b218b413-2255-4ce9-a06d-feb81ae8a30c,0.38,0.13,0.0,0.5,0.0,0.0,0.5,0.0,0.4,1.0,0.75,0.83,0.75,0.13,0.5,0.0,0.2,0.45,0.67
76da80ac-a96a-47a2-b27c-86bd78030d39,0.5,0.75,0.3,0.5,1.0,0.75,0.5,0.5,1.0,1.0,1.0,0.67,0.63,0.5,0.5,0.2,1.0,0.87,0.92
04c335b4-f89d-461a-9657-dda52d2f72b0,0.5,1.0,0.4,0.0,1.0,0.25,0.5,0.0,1.0,1.0,1.0,0.83,0.7,0.88,0.5,0.2,0.8,0.9,0.67
ff413016-f809-49d3-a8d5-73f2510b41b6,0.5,0.81,0.6,0.83,0.67,0.75,0.75,0.13,1.0,1.0,1.0,1.0,0.89,0.63,0.67,0.6,1.0,0.84,0.92
3594fe5f-4ec2-400c-8e8e-ae19772b7273,0.25,0.44,0.1,0.33,0.67,0.25,0.25,0.0,0.6,0.0,0.75,0.33,0.38,0.13,0.17,0.0,0.2,0.7,0.4
2542efc7-b57c-40b9-ba64-54b2f51d5115,0.8,0.81,0.7,0.33,0.0,1.0,0.5,0.13,1.0,0.5,0.67,0.67,0.56,0.5,0.17,0.6,0.6,0.67,0.25
c3e3ee30-64f3-4447-bd59-7ea173df5ffa,0.5,1.0,0.2,0.0,0.33,0.75,1.0,0.0,1.0,1.0,1.0,0.67,0.63,1.0,0.67,0.25,0.0,0.84,0.33
38641492-ee8e-4be1-81bb-bcb66002ce1b,0.25,0.75,0.2,0.5,0.67,0.5,0.75,0.13,0.8,1.0,1.0,0.83,0.67,0.38,0.33,0.8,1.0,0.58,0.5
ed5bcbc8-a87f-4a0c-a7c1-eaf4ca6b7e28,0.6,0.69,0.0,0.17,0.0,0.5,0.0,0.0,1.0,1.0,0.78,0.67,0.78,1.0,0.33,0.8,0.6,0.71,0.67
7faf46f4-7fde-439c-a576-f8125279f46f,0.38,1.0,0.3,0.17,0.67,0.5,1.0,0.0,1.0,1.0,1.0,0.83,1.0,0.75,0.5,1.0,1.0,0.77,0.83
e5949fe1-6df0-4afe-928c-0b91cb294556,0.5,0.88,0.2,0.5,0.0,0.75,0.5,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.17,0.2,0.2,0.48,0.0
23b124ac-2303-4616-89bb-602ca243e229,0.25,1.0,0.5,0.83,1.0,1.0,1.0,0.38,1.0,1.0,1.0,1.0,0.63,1.0,0.33,1.0,0.8,0.81,0.8
cada0f0b-c608-4cb3-b832-e08654adc9ab,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.78,1.0,1.0,0.38,0.33,1.0,1.0,0.84,1.0
8551e054-2944-46f2-ba14-54cdda2d5bb8,0.63,1.0,0.4,0.83,1.0,0.75,0.25,0.0,0.8,1.0,1.0,0.83,0.89,0.38,0.5,1.0,1.0,0.68,0.83
43b41fc9-2b2d-45a0-9009-cd8a9df8b946,0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
0465f1be-3dcc-4886-848f-5b776a2f05b6,0.38,0.5,0.2,0.0,0.0,0.25,0.5,0.0,0.2,0.0,0.44,0.33,0.33,0.13,0.17,0.25,0.6,0.61,0.6
19b92d20-77a3-4a7b-8825-9a88dcf02c63,0.5,0.94,0.3,0.83,0.0,0.75,1.0,0.0,0.6,0.75,1.0,1.0,0.6,0.5,0.67,1.0,0.2,0.9,0.33
602475ae-dffc-4928-b6c6-ee9993baaabc,0.3,1.0,0.8,0.83,0.67,1.0,0.75,0.13,1.0,0.5,0.89,0.67,0.6,0.88,0.5,0.83,1.0,0.81,0.83
dd2ccaaf-10f7-42ac-8c30-e79258e105bc,0.38,0.69,0.7,0.83,1.0,1.0,0.5,0.5,1.0,0.0,1.0,0.67,0.88,0.88,0.33,1.0,0.8,0.68,0.8
814c81d7-3686-4f6a-8cc0-04a40c3b5461,0.38,0.69,0.2,0.17,0.0,0.75,0.25,0.0,1.0,1.0,0.89,0.83,0.63,0.13,0.5,0.67,0.2,0.55,0.9
d03a1cdf-442a-4032-aaf8-a4ad88bbdaca,0.38,0.94,0.4,0.83,1.0,0.75,0.25,0.0,0.8,0.5,1.0,1.0,0.9,0.25,0.33,1.0,1.0,0.68,0.83
83ef618a-67e9-4c49-ab95-a36ae8a08b11,0.38,0.88,0.3,0.17,1.0,0.75,1.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,0.5,0.75,1.0,0.97,0.83
5018ec20-f436-4199-bc4d-c0c1be30b2d4,0.25,0.0,0.1,0.0,0.0,0.5,0.5,0.0,0.2,0.0,0.0,0.33,0.38,0.0,0.33,0.25,0.4,0.23,0.2
7f06eefc-47a7-4258-b1a5-98145c7bbffd,0.38,1.0,0.2,0.17,1.0,0.75,1.0,0.0,1.0,1.0,0.88,0.83,0.88,1.0,0.5,0.25,0.6,0.97,0.67
f578fbad-77f6-41a9-9511-761c69d90a90,0.25,0.94,0.4,0.33,1.0,0.5,0.5,0.0,0.8,0.5,0.88,1.0,0.89,0.25,0.33,0.75,0.4,0.71,0.8
147ba0ce-e5fa-47c3-b98f-41bff1e409ed,0.63,0.94,0.3,0.33,0.33,1.0,1.0,0.25,0.8,1.0,1.0,0.83,0.89,0.88,0.5,1.0,0.8,0.65,0.92
b23e051d-3aa1-431b-b44c-e2d33efc6e3e,0.88,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.88,1.0,1.0,1.0,1.0,1.0,1.0
f0fe5b61-8eeb-49f5-812e-92e86a8b77bc,0.38,0.75,0.4,1.0,1.0,0.25,0.75,0.0,0.4,0.0,0.75,0.5,0.38,0.0,0.5,0.5,0.6,0.83,0.0
182a4fd7-ced6-470c-9213-169fe8dd782e,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ea65f1fa-7d35-48c7-9358-07788113edbb,0.38,1.0,0.4,0.0,1.0,0.5,1.0,0.25,0.6,1.0,1.0,0.67,0.88,0.75,0.67,0.5,1.0,0.84,0.6
4a6dcb4f-3ffb-4971-b281-ce71c4fc9bee,0.25,0.88,0.3,0.5,0.67,0.5,0.5,0.0,0.8,0.5,0.88,0.83,0.44,0.38,0.33,0.4,0.2,0.77,0.67
0bb6b54e-0714-4bef-bc9c-a2406f1e436c,0.75,0.81,0.2,0.17,1.0,0.25,0.75,0.0,0.2,0.5,0.88,0.17,0.38,0.25,0.33,0.25,0.4,0.74,0.0
4721b171-10ac-4429-aa50-25aea040ccf1,0.38,0.94,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.89,1.0,0.5,1.0,1.0,0.52,0.5
b29c632e-4213-4e75-94ef-29211136994a,0.5,0.5,0.0,0.17,0.0,0.5,0.5,0.0,0.8,0.5,0.88,0.67,0.5,0.13,0.17,0.5,0.6,0.58,0.6
367a6db9-b271-411a-b699-4e238813769d,0.38,1.0,0.3,0.5,0.0,1.0,0.5,0.38,1.0,1.0,1.0,0.17,0.88,0.88,0.33,1.0,0.4,0.71,0.83
5c830826-c9e8-496e-820b-2460330dd881,0.25,0.75,0.2,0.17,0.33,1.0,0.5,0.0,0.8,1.0,0.75,0.33,0.75,0.25,0.67,0.25,0.4,0.65,0.3
0b8a48ac-e218-4faa-ac3b-0a404897cffe,0.5,1.0,0.4,0.17,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0.67,0.89,1.0,0.5,0.5,0.8,0.84,0.42
be06f3f0-07b9-4440-93fd-269604f54e1b,0.5,1.0,0.5,0.5,1.0,0.75,1.0,0.63,1.0,1.0,1.0,1.0,0.8,0.5,0.67,1.0,1.0,0.77,1.0
640c22a2-faa1-46a6-b42e-d37bcf5a255e,0.63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88,0.83,1.0,1.0,1.0,1.0
82d4b40e-c25b-443a-8698-dfc5500fcc81,0.63,1.0,0.3,0.83,1.0,0.75,1.0,0.0,0.8,1.0,0.89,0.83,0.9,0.38,0.17,0.8,0.6,0.9,1.0
cea6e180-3490-44cf-8280-a7342b7075e3,0.25,0.75,0.2,0.17,0.0,0.5,0.5,0.13,0.8,1.0,1.0,1.0,1.0,1.0,0.67,0.75,0.8,0.73,0.92
a7041fd2-e279-49dd-a536-566004bf9387,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.06,0.0
9e7214cc-12d0-40cc-903b-2f9e7aa3a1f9,0.38,0.94,0.5,0.67,0.67,1.0,0.5,0.63,1.0,1.0,0.75,0.67,0.75,0.75,0.5,1.0,1.0,0.87,1.0
a7861a9f-480c-4959-b7f3-73fa2f31b13e,0.38,0.88,0.1,0.5,0.33,0.5,1.0,0.0,1.0,1.0,1.0,0.83,0.89,0.88,0.5,0.75,0.8,0.77,0.67
c96c2f55-fbd7-4744-b118-115baa827d2c,0.5,0.88,0.2,0.33,0.67,0.75,0.5,0.0,0.8,1.0,1.0,0.67,0.67,0.5,0.67,1.0,1.0,0.74,1.0
e58e4ac4-36a7-4d84-8002-649f2d44e6a4,0.38,1.0,0.7,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.88,1.0,0.67,1.0,1.0,0.97,1.0
f09a866f-7fc6-4803-b398-9a67eb5a52cc,0.13,1.0,0.5,0.83,1.0,0.75,1.0,1.0,1.0,1.0,0.88,0.67,0.89,0.63,0.17,1.0,0.6,0.94,1.0
ef347025-42ae-4bb5-80ef-5e45bbec96c1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.19,0.0
cee72a7f-eed2-4c1f-ab2a-c465559b7056,0.63,0.88,0.1,0.17,0.33,0.75,0.25,0.0,0.8,1.0,1.0,0.83,0.67,0.25,0.5,1.0,0.8,0.61,0.83
f4204cef-01a9-42a8-a969-dc63c6fdf61e,0.5,0.94,0.4,0.83,0.67,0.75,0.75,0.0,1.0,1.0,1.0,1.0,0.89,0.75,0.67,0.75,1.0,0.84,0.8
062a3740-8099-4206-a525-32cc61909571,0.63,1.0,0.7,0.83,1.0,0.75,1.0,0.63,1.0,1.0,1.0,1.0,0.89,1.0,0.5,1.0,0.8,0.97,1.0
f9f12d8a-f45e-41e5-9072-ef6855d2ebb7,0.75,0.5,0.9,0.17,0.33,1.0,1.0,0.5,0.8,1.0,1.0,0.83,0.88,0.25,0.83,1.0,1.0,0.68,0.7
93f9d097-423b-4808-abfd-9d2e43bf85bd,0.5,1.0,0.9,0.67,1.0,0.75,1.0,0.75,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0
0b91819a-ef9f-4fc3-80b7-c44b8601f99e,0.75,0.94,0.8,0.5,1.0,1.0,1.0,0.38,1.0,1.0,1.0,0.67,0.89,0.63,0.67,1.0,1.0,0.81,1.0
8268d81c-879b-4aec-b123-b4f10fe0ca17,0.13,0.94,0.4,0.67,1.0,1.0,1.0,0.25,0.8,1.0,1.0,1.0,0.88,1.0,0.33,0.67,0.8,0.65,0.75
e1a37ad7-b1f3-4040-8973-98fc9705608d,0.63,0.94,0.4,0.33,1.0,0.5,1.0,0.0,0.8,1.0,0.63,1.0,0.78,0.25,0.33,0.8,0.6,0.87,0.8
17721300-01d7-4888-b3e8-2892745b3470,0.38,0.5,0.1,0.17,0.33,0.0,0.0,0.0,0.8,1.0,0.13,0.83,0.63,0.13,0.33,0.25,0.0,0.61,0.67
61406948-f37f-477e-8981-76126a897dda,0.25,1.0,0.7,1.0,1.0,1.0,1.0,0.63,1.0,1.0,1.0,1.0,1.0,1.0,0.67,1.0,1.0,0.97,1.0
b34de3a0-4368-4680-bcaa-38af1e777170,0.13,1.0,0.5,0.67,1.0,1.0,0.5,0.63,1.0,1.0,1.0,0.67,0.67,0.88,0.5,0.75,1.0,0.87,1.0
f471f390-d74b-46e6-843e-aebcc5c21a80,0.38,0.88,0.4,0.67,1.0,0.5,0.5,0.25,1.0,1.0,1.0,0.67,0.78,0.75,0.5,0.8,1.0,0.84,1.0
d3e460c5-eb29-418a-81ee-d7594ef7e2c1,0.5,0.94,0.3,0.33,0.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.89,0.88,0.5,0.4,0.4,0.68,1.0
0d9536b9-e00f-4f90-a906-b4981870acc5,0.38,0.94,0.4,0.67,1.0,0.75,0.5,0.0,0.6,0.75,1.0,0.83,0.5,0.13,0.5,1.0,0.8,0.9,0.58
2b8e4c9c-2749-4d65-9de6-0c6b7427ecbe,0.6,0.88,0.2,0.33,0.0,1.0,0.75,0.0,0.8,1.0,0.75,1.0,0.89,0.63,0.33,1.0,1.0,0.87,0.33
4c58cca8-70a2-422e-96e9-4b94b35c7621,0.75,1.0,0.3,0.33,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.67,0.8,0.63,0.5,0.8,0.8,0.81,1.0
498d4f37-6ed9-4d9d-8f9f-faaa4dde61d8,0.13,0.69,0.1,0.0,0.0,0.75,0.5,0.0,1.0,1.0,1.0,0.67,0.75,0.13,0.17,0.25,0.0,0.71,0.7
6f40e86d-9ccb-4095-9159-c9fb51241bdc,0.38,0.81,0.0,0.0,0.0,0.5,0.5,0.0,0.6,0.0,0.63,0.5,0.5,0.13,0.33,0.25,0.4,0.71,0.83
